House Chester of Greenshield
House Chyttering
House Clegane
House Clifton
House Cockshaw
House Codd
House Coldwater of Coldwater Burn
House Cole
House Condon
House Conklyn
House Connington of Griffin's Roost
House Corbray of Heart's Home
House Cordwayner of Hammerhal
House Costayne of Three Towers
House Cox of Saltpans
House Crabb
House Crakehall of Crakehall
House Crane of Red Lake
House Cray
House Cressey
House Crowl of Deepdown
House Cuy of Sunhouse
House Dalt of Lemonwood
House Dargood
House Darke
House Darklyn of Duskendale
House Darkwood
House Darry of Darry
House Dayne of High Hermitage
House Dayne of Starfall
House Deddings
House Doggett
House Dondarrion of Blackhaven
House Donniger
House Drinkwater
House Drox
House Drumm of Old Wyk
House Dryland
House Dunn
House Durrandon
House Durwell
House Dustin of Barrowton
House Edgerton
House Egen
House Elesham of the Paps
House Erenford
House Errol of Haystack Hall
House Estermont of Greenstone
House Estren of Wyndhall
House Falwell
House Farman of Faircastle
House Farring
House Farwynd of Sealskin Point
House Farwynd of the Lonely Light
House Fell of Felwood
House Fenn
House Ferren
House Fisher
House Fisher of the Stony Shore
House Flint  of the mountains
House Flint of Breakstone Hill
House Flint of Flint's Finger
House Flint of Widow's Watch
House Florent of Brightwater Keep
House Follard
House Foote
House Foote of Nightsong
House Footly of Tumbleton
House Forrester
House Fossoway of Cider Hall
House Fossoway of New Barrel
House Fowler of Skyreach
House Frey of Riverrun
House Frey of the Crossing
House Frost
House Gardener of Highgarden
House Gargalen of Salt Shore
House Garner
House Gaunt
House Glenmore
House Glover of Deepwood Motte
House Goodbrook
House Goodbrother of Corpse Lake
House Goodbrother of Crow Spike Keep
House Goodbrother of Downdelving
House Goodbrother of Hammerhorn
House Goodbrother of Orkmont
House Goodbrother of Shatterstone
House Gower
House Graceford of Holyhall
House Grafton of Gulltown
House Grandison of Grandview
House Graves
House Greenfield of Greenfield
House Greengood
House Greenwood
House Grell
House Grey
House Greyiron of Orkmont
House Greyjoy of Pyke
House Greystark of Wolf's Den
House Grimm of Greyshield
House Haigh
House Hamell
House Harclay
House Hardy
House Hardyng
House Harlaw of Grey Garden
House Harlaw of Harlaw
House Harlaw of Harlaw Hall
